名次,学校名称,所在地区,类型,总分,科学研究,人才培养,综合声誉,办学类型,星级排名,办学层次
472,咸阳师范学院,陕西,师范,61.35,60.07,62.88,60,应用型,-,-
472,桂林医学院,广西,医药,61.35,60.01,62.94,60,应用型,-,-
472,玉林师范学院,广西,师范,61.35,60.06,62.88,60,应用型,-,-
472,承德医学院,河北,医药,61.35,60.01,62.92,60,应用型,-,-
472,通化师范学院,吉林,师范,61.35,60.04,62.89,60,应用型,-,-
472,牡丹江医学院,黑龙江,医药,61.35,60.06,62.89,60,应用型,-,-
482,长春工程学院,吉林,理工,61.34,60.03,62.9,60,应用型,-,-
482,湖南工程学院,湖南,理工,61.34,60.02,62.9,60,应用型,-,-
482,泉州师范学院,福建,师范,61.34,60.03,62.9,60,应用型,-,-
482,赣南医学院,江西,医药,61.34,60.03,62.89,60,应用型,-,-
482,淮阴工学院,江苏,理工,61.34,60.03,62.89,60,应用型,-,-
482,鞍山师范学院,辽宁,师范,61.34,60.03,62.88,60,应用型,-,-
482,湖北汽车工业学院,湖北,理工,61.34,60.02,62.9,60,应用型,-,-
482,上饶师范学院,江西,师范,61.34,60.02,62.89,60,应用型,-,-
482,运城学院,山西,综合,61.34,60.01,62.91,60,应用型,-,-
482,淮南师范学院,安徽,师范,61.34,60.03,62.89,60,应用型,-,-
482,楚雄师范学院,云南,师范,61.34,60.03,62.89,60,应用型,-,-
482,昌吉学院,新疆,综合,61.34,60.03,62.88,60,应用型,-,-
482,吉林工程技术师范学院,吉林,师范,61.34,60.02,62.89,60,应用型,-,-
495,湖南商学院,湖南,财经,61.33,60.3,62.57,60.16,应用型,-,-
495,长治医学院,山西,医药,61.33,60,62.9,60,应用型,-,-
495,韶关学院,广东,综合,61.33,60.01,62.89,60,应用型,-,-
495,南阳理工学院,河南,理工,61.33,60.01,62.88,60,应用型,-,-
495,唐山师范学院,河北,师范,61.33,60.01,62.88,60,应用型,-,-
495,唐山学院,河北,理工,61.33,60,62.88,60,应用型,-, 
495,哈尔滨学院,黑龙江,综合,61.33,60,62.89,60,应用型,-,-
495,黑龙江工程学院,黑龙江,理工,61.33,60.01,62.89,60,应用型,-,-
495,安阳工学院,河南,理工,61.33,60.01,62.88,60,应用型,-,-
495,攀枝花学院,四川,综合,61.33,60,62.89,60,应用型,-,-
495,忻州师范学院,山西,师范,61.33,60,62.9,60,应用型,-,-
495,齐齐哈尔医学院,黑龙江,医药,61.33,60.02,62.89,60,应用型,-,-
495,玉溪师范学院,云南,师范,61.33,60.01,62.89,60,应用型,-,-
495,河南城建学院,河南,理工,61.33,60,62.88,60,应用型,-,-
495,呼伦贝尔学院,内蒙古,综合,61.33,60,62.89,60,应用型,-,-
495,廊坊师范学院,河北,师范,61.33,60.02,62.89,60,应用型,-,-
495,河北建筑工程学院,河北,理工,61.33,60,62.89,60,应用型,-,-
495,黑龙江工业学院,黑龙江,理工,61.33,60,62.88,60,应用型,-,-
495,河套学院,内蒙古,综合,61.33,60,62.88,60,应用型,-,-
495,太原学院,山西,综合,61.33,60,62.88,60,应用型,-,-
495,首钢工学院,北京,理工,61.33,60,62.88,60,应用型,-,-
516,江西科技师范大学,江西,师范,61.23,60.08,62.53,60.33,应用型,-,-
516,西安医学院,陕西,医药,61.23,60.03,62.49,60.66,应用型,-,-
518,上海政法学院,上海,政法,61.22,60.16,62.46,60.16,应用型,-,-
519,湖南科技学院,湖南,综合,61.21,60.04,62.57,60.16,应用型,-,-
519,洛阳师范学院,河南,师范,61.21,60.13,62.47,60.16,应用型,-,-
